career_objective,skills,educational_institution_name,degree_names,major_field_of_studies,professional_company_names,start_dates,end_dates,candidate_experience_years,positions,responsibilities,certification_skills,job_position_name,educationaL_requirements,experiencere_requirement,required_experience_years,skills_required,age_requirement,skills_required_data_available,skill_match,required_skill_coverage,experience_fit,education_match,certification_match,project_relevance,semantic_similarity,matched_score
,a/p; access; account reconciliation; accounting; accounting software; accounts payables; accounts receivables; analyze financial statements; arabic; balance sheet; bank reconciliations; banking; billing; bookkeeping; budget; budgeting; budgets; client; clients; closing; controller; documentation; english; equity; express; finance; financial; financial analysis; financial statements; fixed assets; forecasting; general accounting; general ledger; gl; inventory; investments; ledger; market; microsoft excel; microsoft powerpoint; microsoft word; monitors; organizational; outlook; payables; payroll; personnel; prepare financial statements; problem solving; processes; profit; profit and loss account; public accounting; quickbooks; reporting; sales; strong communication skills; supervision; swedish; tax; tax returns; yearend,"['Walsh College', 'Stockholm University', 'Al Turath University', 'Svenskabörsrum Institute']",Master of Accountancy; Bachelor of Accountancy Degree; Bachelor of Accountancy; Certificate of Business Administration,Accounting,"['Company Name', 'Company Name', 'Company Name', 'Company Name']",June 2013; February 2008; January 2000; January 1996,Current; March 2013; January 2007; January 2000,26.66,Accountant; Accountant; Accounting Manager; Staff Accountant Finance Manager,"Full Stack Development
Front-end: ReactJS, NextJS
Backend: Python, Django
API Design
Server-Side Logic
DRF (Django REST Framework)
Database Management (PostgreSQL, MySQL)
Version Control (Git)
AWS (ECR, RDS, ECS, ALB, EC2, etc.)
Linux, Docker, CI/CD, GitLab
Terraform, Shell Scripting",,"Full Stack Developer (Python,React js)",Bachelor/Honors,3 to 7 years,3.0,,,False,0.104,0.104,1.0,0.9,0.0,0.0682,0.0416,0.3425
,budget; business strategy; consultation; customer relationship management; delivery; direct mail; directing; driving; email; forecasting; graphic; graphic design; image; inside sales; inventory; market; marketing; marketing sales; marketing strategy; mentor; new business development; optimization; policies; presentations; sales; senior management; strategy,['Wichita State University'],Associate of Arts,Advertising & Public Relations,"['Company Name', 'Company Name', 'Company Name']",02/2014; 06/2010; 09/2006,Current; 01/2014; 06/2010,0.0,New Business Development Manager; Inside Sales Manager; Inside Sales Manager,"Design Review
Coordination
Proposal Preparation
Feasibility Analysis
Software Utilization
Supervision
Technical Support
Submission Review
Progress Reporting
Compliance
Site Visits",business; marketing; sales,Civil Engineer,B.Sc in Civil Engineering from a reputed university.,At least 5 years,5.0,autocad; etabs; microsoft office suite; ms project,Age at least 30 years,True,0.0,0.0,0.0293,0.5,0.0,0.0,0.0,0.0794
My main objective in seeking employment with Triumph Actuation Systems Inc. is to work in a professional atmosphere where I can utilize my skills and continue to gain experience in the aerospace industry to advance in my career.,dasylab; electrical; hydraulic testing; labview; lean/5s; mechanical; test stand fabrication,"['Forsyth Technical Community College', 'Community College of the Air Force']",Associates; Associates,"Applied Science Electronics Engineering; Applied Science, Munitions Systems Technology","['Company Name', 'Company Name', 'Company Name', 'Company Name']",Oct 2016; Apr 2012; Mar 2007; Mar 2003,Current; Oct 2016; Mar 2012; Mar 2007,20.75,"Engineering Lab Technician; Engineering Lab Technician, Sr. Specialist; Assembly/ Test Technician; Munitions Systems Journeyman","Hardware & Network Installation
Troubleshooting & Diagnostics
User Training & Capacity Building
Hardware Replacement
Fault Repair & System Setup
Software License & Account Management
Backup Management
System Updates & Maintenance
Server & Storage Management
Documentation & Technical Specifications
Data Protection & Disaster Recovery
Storage & Database Planning
Power & Disk Backup
Incident Management & Escalation
Service Restoration
User Communication & Verification
Incident Classification & Resolution
Major Incident Escalation
Problem & Error Management
Task Assignment & Execution",,"System Administrator (Operation & Maintenance of Server, Storage & Service Desk System)",Bachelor/Honors,4 to 5 years,4.0,cisco; linux; operation maintenance of server,,True,0.0,0.0,1.0,0.2,0.0,0.0806,0.0973,0.1889
Fresher starting out and wanting to join a role of machine learning engineer or data science engineer.,artificial intelligence; bootstrap; c++; css; data analysis; data science; deep learning; html; jdbc; linear regression; machine learning; php; predictive modeling; sql; statistical modeling,"['BGBS College, Mohantpur', 'BGBS College, Mohantpur']",BCA; MCA,,['HiB Pvt Ltd'],May 2019,Dec 2019,0.59,Intern,"Management Trainee
Mechanical Systems
Maintenance & Troubleshooting
Performance Analysis
Project Support
Process Improvement
Training & Development
Administrative Support",,Management Trainee - Mechanical,Fresh graduates with a Bachelor’s degree in Mechanical Engineering or a related field.,,1.0,computer skill; good communication skills; mechanical engineering; quick learner and hard working,Age at least 22 years,True,0.0,0.0,0.7484,0.9,0.0,0.1111,0.0921,0.2574
Software Engineer with a track record of Implementing and completing projects on time and in alignment with client expectations. Enthusiast about Data Science and keen to learn and explore.,amazon web services; application programming; client management; data science; machine learning; natural language processing; nosql; python; requirement gathering; server management; software development; sql; system analysis; technical architecture,['University of Pune'],Bachelor of Engineering,Computer Engineering,['Empowered Technologies'],Dec 2019,Present,4.08,SDE,"Supervision
Monitoring
Construction
Estimation
Planning
Material Management
Project Coordination
Quality Assurance
Cost Control
Inventory
Operations
Safety
Error Escalation
Miscellaneous Tasks




",data science,Site Engineer,Bachelor of Science (BSc) in Civil Engineering,1 to 2 years,1.0,autocad; communication and negotiation skills; internet; ms office,Age 25 to 30 years,True,0.0,0.0,0.9898,1.0,0.0,0.0,0.0369,0.3003
"A curiosity-driven data scientist, eager to leverage machine learning and data analytics to extract meaningful insights, make informed decisions and solve challenging business problems. I ensure to contribute with my knowledge, logical thinking and analytical skills towards the consistent growth and development of the organization, and enhance my experience through continuous learning and teamwork.",anova; cluster analysis; correlation analysis; data analysis; data mining; decision tree; linear regression; logistic regression; machine learning; microsoft excel; natural language processing; neural networks; principal component analysis; python; r; spss; sql; tableau,"['MamCO University', 'MamCO University']",BSc(CA); MSc(CA),Computer Applications; Computer Applications,['KPMMC Inc.'],Aug 2020,Ongoing,0.0,Machine Learning Junior Developer,"iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality",big data analysis; hadoop,Senior iOS Engineer,Bachelor of Science (BSc) in Computer Science,At least 4 years,4.0,ios; ios app developer; ios application development; ios development; mobile apps developer ios; native ios; swift ios; swift ui,,True,0.0,0.0,0.0759,0.9,0.0,0.1081,0.193,0.1614
"Innovative programmer with analytical problem-solving skills and 2-year IT internship experience. Demonstrated proficiency in diverse computer programs, including SMS/SQL, Ethernet, VPN, SSH, VoIP, HTML, PHP, ASP, and XML. Looking to design technical initiatives and automate solutions for organizational efficiency, productivity, and profitability.",analytical thinking; complex problem solving; information technology; so ware development,['Brown University'],Bachelor of Science,"Computer Science, Cybersecurity","['Security Benefit', 'Textron Inc.']",Nov 2019; Dec 2018,May 2020; Jun 2019,1.0,Information Technology Support; Information Technology Intern,"Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration",,Intern (Generative AI Engineering - 2D/3D Image Generation),Bachelor of Science (BSc),,1.0,,Age 20 to 35 years,False,0.1981,0.1981,0.8176,1.0,0.0,0.08,0.0792,0.3797
,5 why; 8d; anatomy; ansys; apqp; autocad; benchmarking; c; catia; cnc engineering; cost analysis; development; dvpr; fmea; gdt; kaizen; kanban; kpis; lean manufacturing; manufacturing process; microsoft office; minitab; packaging; ppap; process engineering; product development; product project management; programming; qcc; r; reliability sae standards; surveys; toyota production systems; validation; vehicle ergonomics; welding,"['University of Michigan Dearborn', 'Visvesvaraya Technological University']",Master of Science; Bachelor of Engineering,Manufacturing Systems Engineering; Mechanical Engineering,"['Company Name', 'Company Name']",07/2017; 06/2013,08/2017; 06/2016,0.0,Engineering Assistant; Engineer,"Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support",,Executive/ Sr. Executive -IT,Bachelor of Science (BSc) in Computer Science & Engineering,3 to 5 years,3.0,,Age at most 40 years,False,0.0723,0.0723,0.1824,0.9,0.0,0.0,0.0289,0.2
Understanding and solving problems has been one my core objectives since I started working. Exploring data and the different interpretation it can have is what amazes me. Currently interested Machine Learning developer and engineer roles.,api design; data analysis; html; java; machine learning; matplotlib; natural language processing; python; sap; seaborn; software developer; sql; tableau,"['STC College, Pondicherry']",BCA,,['HCL'],May 2019,Ongoing,0.0,Junior SDE,"Management Trainee
Mechanical Systems
Maintenance & Troubleshooting
Performance Analysis
Project Support
Process Improvement
Training & Development
Administrative Support",,Management Trainee - Mechanical,Fresh graduates with a Bachelor’s degree in Mechanical Engineering or a related field.,,1.0,computer skill; good communication skills; mechanical engineering; quick learner and hard working,Age at least 22 years,True,0.0,0.0,0.6225,1.0,0.0,0.1071,0.113,0.2544
,clustering; data analytics; data science; data structures; linux; logistic regression; machine learning; python; software developer; software engineer; statistical analysis; unix; visual studio,['University of Mangalore'],Bsc (IT),Information Technology,['Systemica Consultants'],Apr 2019,Till date,4.75,SDE,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",,AI Engineer,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.",,1.0,python; pytorch; r or java; scikitlearn.; tensorflow,,True,0.1667,0.2,0.9948,1.0,0.0,0.0,0.0807,0.3933
"I am a Junior Machine Learning developer who focuses on data improvement and modelling, finding patterns in large databases and optimization of different models.",amazon web services; artificial intelligence; c++; clustering; cnn; data analyst; data analytics; flask; git; image processing; linear regression; machine learning; mongodb; neural networks; python; pytorch,['JCP COLLEGE OF ENGINEERING AND TECHNOLOGY'],B.TECH,ELECTRICAL,['CAPITUM INDIA'],APR 2020,TILL DATE,3.75,JUNIOR MACHINE LEARNING ENGINEER,"Mushak Forms Maintenance
VAT Software & MS Office Maintenance
VAT Ledger Management
VAT Challan Coordination
Liaison with VAT Office
VAT Documentation
Other Assigned Tasks",,Executive - VAT,BBA in Accounting and Finance,1 to 3 years,1.0,vat and tax,,True,0.0,0.0,0.9859,1.0,0.0,0.0435,0.3978,0.32
